"filename", "language", "Markdown", "JSON", "JSON with Comments", "HTML", "TypeScript", "vue", "SCSS", "JavaScript", "YAML", "comment", "blank", "total"
"e:\Code\WhatsPPT\src\components\NumberInput.vue", "vue", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 21, 201
"e:\Code\WhatsPPT\src\components\OutlineEditor.vue", "vue", 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 35, 344
"e:\Code\WhatsPPT\src\components\Popover.vue", "vue", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 11, 103
"e:\Code\WhatsPPT\src\components\PopoverMenuItem.vue", "vue", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 38
"e:\Code\WhatsPPT\src\components\RadioButton.vue", "vue", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"e:\Code\WhatsPPT\src\components\RadioGroup.vue", "vue", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 7, 35
"e:\Code\WhatsPPT\src\components\Select.vue", "vue", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 17, 204
"e:\Code\WhatsPPT\src\components\SelectCustom.vue", "vue", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 8, 120
"e:\Code\WhatsPPT\src\components\SelectGroup.vue", "vue", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 8, 54
"e:\Code\WhatsPPT\src\components\Slider.vue", "vue", 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 36, 280
"e:\Code\WhatsPPT\src\components\Switch.vue", "vue", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 9, 84
"e:\Code\WhatsPPT\src\components\Tabs.vue", "vue", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 13, 108
"e:\Code\WhatsPPT\src\components\TextArea.vue", "vue", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 11, 94
"e:\Code\WhatsPPT\src\components\TextColorButton.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"e:\Code\WhatsPPT\src\components\WritingBoard.vue", "vue", 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 50, 359
"e:\Code\WhatsPPT\src\configs\animation.ts", "TypeScript", 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 6, 234
"e:\Code\WhatsPPT\src\configs\chart.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 3, 70
"e:\Code\WhatsPPT\src\configs\element.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"e:\Code\WhatsPPT\src\configs\font.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"e:\Code\WhatsPPT\src\configs\hotkey.ts", "TypeScript", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 2, 149
"e:\Code\WhatsPPT\src\configs\imageClip.ts", "TypeScript", 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 3, 181
"e:\Code\WhatsPPT\src\configs\latex.ts", "TypeScript", 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 1, 274
"e:\Code\WhatsPPT\src\configs\lines.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"e:\Code\WhatsPPT\src\configs\shapes.ts", "TypeScript", 0, 0, 0, 0, 1025, 0, 0, 0, 0, 2, 11, 1038
"e:\Code\WhatsPPT\src\configs\storage.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Code\WhatsPPT\src\configs\symbol.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 59
"e:\Code\WhatsPPT\src\configs\theme.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 1, 93
"e:\Code\WhatsPPT\src\global.d.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\Code\WhatsPPT\src\hooks\useAIPPT.ts", "TypeScript", 0, 0, 0, 0, 440, 0, 0, 0, 0, 0, 57, 497
"e:\Code\WhatsPPT\src\hooks\useAddSlidesOrElements.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 12, 16, 106
"e:\Code\WhatsPPT\src\hooks\useAlignActiveElement.ts", "TypeScript", 0, 0, 0, 0, 163, 0, 0, 0, 0, 6, 8, 177
"e:\Code\WhatsPPT\src\hooks\useAlignElementToCanvas.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 11, 13, 80
"e:\Code\WhatsPPT\src\hooks\useCombineElement.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 17, 17, 91
"e:\Code\WhatsPPT\src\hooks\useCopyAndPasteElement.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 4, 9, 55
"e:\Code\WhatsPPT\src\hooks\useCreateElement.ts", "TypeScript", 0, 0, 0, 0, 255, 0, 0, 0, 0, 41, 29, 325
"e:\Code\WhatsPPT\src\hooks\useDeleteElement.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 7, 44
"e:\Code\WhatsPPT\src\hooks\useExport.ts", "TypeScript", 0, 0, 0, 0, 771, 0, 0, 0, 0, 12, 91, 874
"e:\Code\WhatsPPT\src\hooks\useGlobalHotkey.ts", "TypeScript", 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 27, 321
"e:\Code\WhatsPPT\src\hooks\useHideElement.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"e:\Code\WhatsPPT\src\hooks\useHistorySnapshot.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
"e:\Code\WhatsPPT\src\hooks\useImport.ts", "TypeScript", 0, 0, 0, 0, 516, 0, 0, 0, 0, 2, 53, 571
"e:\Code\WhatsPPT\src\hooks\useLink.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"e:\Code\WhatsPPT\src\hooks\useLoadSlides.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 30
"e:\Code\WhatsPPT\src\hooks\useLockElement.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 5, 7, 61
"e:\Code\WhatsPPT\src\hooks\useMoveElement.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 6, 7, 61
"e:\Code\WhatsPPT\src\hooks\useOrderElement.ts", "TypeScript", 0, 0, 0, 0, 117, 0, 0, 0, 0, 51, 44, 212
"e:\Code\WhatsPPT\src\hooks\usePasteEvent.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 7, 11, 58
"e:\Code\WhatsPPT\src\hooks\usePasteTextClipboardData.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 22, 11, 98
"e:\Code\WhatsPPT\src\hooks\useScaleCanvas.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 12, 7, 50
